City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hilo,US,85.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
2,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
4,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
8,Victoria,HK,82.45,clear sky,22.2855,114.1577,Mini Hotel Central
21,Bonthe,SL,79.74,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
22,Manado,ID,81.37,scattered clouds,1.487,124.8455,Aryaduta Hotel
24,Bathsheba,BB,80.62,scattered clouds,13.2167,-59.5167,Atlantis Hotel
33,Dingle,PH,83.62,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
35,Yaan,NG,75.99,light rain,7.3833,8.5667,
42,Rikitea,PF,75.72,overcast clouds,-23.1203,-134.9692,People ThankYou
44,Sayhat,SA,80.58,clear sky,26.4852,50.0405,OYO 426 Royal Al Khaleej Furnished Apartments
47,Belmonte,BR,77.5,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
50,Faanui,PF,80.37,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
51,Honiara,SB,87.28,clear sky,-9.4333,159.95,Heritage Park Hotel
57,Wagar,SD,79.99,clear sky,16.1525,36.2032,
58,Jambi,ID,78.46,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
59,Balabac,PH,84.38,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
61,Santa Rita,BR,79.47,scattered clouds,-7.1139,-34.9781,Infinity Motel
68,Saint-Georges,GD,80.82,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
72,Katherine,AU,79.12,scattered clouds,-14.4667,132.2667,Pine Tree Motel
74,Aitape,PG,86.38,broken clouds,-3.1374,142.3475,
75,Kahului,US,86.02,clear sky,20.8947,-156.47,Maui Seaside Hotel
81,Bontang,ID,81.81,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
85,Butaritari,KI,82.33,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
87,Sinnamary,GF,79.02,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
90,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
94,Tarakan,ID,80.01,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
98,Cabo San Lucas,MX,80.06,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
104,Sao Filipe,CV,78.75,broken clouds,14.8961,-24.4956,Hotel Xaguate
111,Kavaratti,IN,81.59,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
114,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
