City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
0,Victor Harbor,-35.5667,138.6167,64.72,55,100,7.85,AU,overcast clouds,2021-11-07 01:05:26
1,Hilo,19.7297,-155.09,85.28,76,3,3.0,US,clear sky,2021-11-07 01:02:44
2,Vaini,-21.2,-175.2,82.56,89,75,10.36,TO,broken clouds,2021-11-07 01:05:27
3,Leningradskiy,69.3833,178.4167,-5.94,89,3,5.39,RU,clear sky,2021-11-07 01:05:22
4,Kapaa,22.0752,-159.319,84.18,75,40,3.0,US,light rain,2021-11-07 01:05:27
5,Puerto Ayora,-0.7393,-90.3518,69.37,77,49,9.73,EC,scattered clouds,2021-11-07 01:05:28
6,Batagay,67.6333,134.6333,-11.15,92,47,4.34,RU,scattered clouds,2021-11-07 01:03:53
7,Kamenka,51.3223,42.7678,40.57,93,0,8.3,RU,clear sky,2021-11-07 01:05:28
8,Victoria,22.2855,114.1577,82.45,82,1,1.01,HK,clear sky,2021-11-07 01:03:15
9,Bredasdorp,-34.5322,20.0403,48.27,81,27,2.15,ZA,scattered clouds,2021-11-07 01:05:29
10,Ushuaia,-54.8,-68.3,42.46,93,90,3.44,AR,light intensity drizzle,2021-11-07 01:05:29
11,Busselton,-33.65,115.3333,60.04,51,13,7.36,AU,few clouds,2021-11-07 01:05:29
12,Hobart,-42.8794,147.3294,65.01,53,75,1.01,AU,broken clouds,2021-11-07 01:05:30
13,Iqaluit,63.7506,-68.5145,22.69,73,100,13.0,CA,overcast clouds,2021-11-07 01:01:27
14,Khatanga,71.9667,102.5,10.76,95,100,4.9,RU,overcast clouds,2021-11-07 01:01:15
15,Albany,42.6001,-73.9662,37.53,76,0,2.46,US,clear sky,2021-11-07 01:05:30
16,Reitz,-27.8014,28.4273,57.22,75,13,4.05,ZA,few clouds,2021-11-07 01:05:31
17,Punta Arenas,-53.15,-70.9167,50.11,81,90,8.05,CL,overcast clouds,2021-11-07 01:05:31
18,Arraial Do Cabo,-22.9661,-42.0278,69.42,73,10,5.46,BR,clear sky,2021-11-07 01:05:31
19,Matay,28.419,30.7792,68.34,73,0,12.08,EG,clear sky,2021-11-07 01:05:32
20,Ponta Do Sol,32.6667,-17.1,68.63,69,36,8.41,PT,scattered clouds,2021-11-07 01:05:32
21,Bonthe,7.5264,-12.505,79.74,82,100,3.62,SL,overcast clouds,2021-11-07 01:05:32
22,Manado,1.487,124.8455,81.37,89,40,3.44,ID,scattered clouds,2021-11-07 01:05:33
23,New Norfolk,-42.7826,147.0587,64.65,27,8,0.47,AU,clear sky,2021-11-07 01:05:33
24,Bathsheba,13.2167,-59.5167,80.62,79,46,15.7,BB,scattered clouds,2021-11-07 01:01:07
25,Tiksi,71.6872,128.8694,-0.35,87,100,15.19,RU,overcast clouds,2021-11-07 01:05:34
26,Coxim,-18.5067,-54.76,73.8,88,77,4.52,BR,broken clouds,2021-11-07 01:05:34
27,Tasiilaq,65.6145,-37.6368,24.96,78,75,8.34,GL,broken clouds,2021-11-07 01:05:34
28,Hualmay,-11.0964,-77.6139,65.37,82,94,9.86,PE,overcast clouds,2021-11-07 01:05:35
29,Kaitangata,-46.2817,169.8464,59.94,71,100,7.2,NZ,overcast clouds,2021-11-07 01:05:35
30,Hamilton,39.1834,-84.5333,48.02,68,1,0.0,US,clear sky,2021-11-07 01:02:10
31,Hermanus,-34.4187,19.2345,56.89,78,17,5.61,ZA,few clouds,2021-11-07 01:05:35
32,Dulce Nombre De Culmi,15.1,-85.5333,68.88,96,98,3.87,HN,overcast clouds,2021-11-07 01:05:36
33,Dingle,10.9995,122.6711,83.62,78,92,11.25,PH,overcast clouds,2021-11-07 01:05:36
34,Cape Town,-33.9258,18.4232,58.26,75,82,3.0,ZA,broken clouds,2021-11-07 01:01:18
35,Yaan,7.3833,8.5667,75.99,88,100,8.46,NG,light rain,2021-11-07 01:05:36
36,Kruisfontein,-34.0033,24.7314,58.89,78,100,4.47,ZA,overcast clouds,2021-11-07 01:05:37
37,Lima,-12.0432,-77.0282,65.89,78,25,7.38,PE,scattered clouds,2021-11-07 01:00:59
38,Thompson,55.7435,-97.8558,30.36,93,90,2.3,CA,light snow,2021-11-07 01:00:52
39,Tromso,69.6496,18.957,32.38,93,0,2.3,NO,clear sky,2021-11-07 01:05:37
40,Hay River,60.8156,-115.7999,32.36,98,100,6.82,CA,light snow,2021-11-07 01:05:37
41,Port Hardy,50.6996,-127.4199,41.49,85,100,8.32,CA,overcast clouds,2021-11-07 01:05:38
42,Rikitea,-23.1203,-134.9692,75.72,81,96,15.17,PF,overcast clouds,2021-11-07 01:02:07
43,Yellowknife,62.456,-114.3525,31.41,91,100,8.99,CA,overcast clouds,2021-11-07 01:05:38
44,Sayhat,26.4852,50.0405,80.58,45,0,7.09,SA,clear sky,2021-11-07 01:05:38
45,Newala,-10.9431,39.2787,64.49,97,100,4.27,TZ,overcast clouds,2021-11-07 01:05:39
46,Bengkulu,-3.8004,102.2655,73.42,95,100,15.7,ID,overcast clouds,2021-11-07 01:05:39
47,Belmonte,-15.8631,-38.8828,77.5,89,100,8.3,BR,overcast clouds,2021-11-07 01:05:40
48,Muroto,33.2833,134.15,65.97,66,3,17.58,JP,clear sky,2021-11-07 01:05:40
49,Betare Oya,5.6,14.0833,67.15,94,93,1.92,CM,light rain,2021-11-07 01:05:40
50,Faanui,-16.4833,-151.75,80.37,69,98,4.12,PF,overcast clouds,2021-11-07 01:05:41
51,Honiara,-9.4333,159.95,87.28,62,7,7.45,SB,clear sky,2021-11-07 01:05:41
52,Bukama,-9.2,25.85,70.14,79,99,2.26,CD,overcast clouds,2021-11-07 01:05:41
53,Dukat,62.55,155.55,18.63,96,100,5.91,RU,overcast clouds,2021-11-07 01:05:41
54,Whitehorse,60.7161,-135.0538,33.03,94,100,4.47,CA,overcast clouds,2021-11-07 01:05:42
55,Kodinsk,58.6881,99.1844,22.24,90,98,9.17,RU,overcast clouds,2021-11-07 01:05:42
56,Poum,-20.2333,164.0167,73.15,73,35,3.67,NC,scattered clouds,2021-11-07 01:05:42
57,Wagar,16.1525,36.2032,79.99,50,0,8.1,SD,clear sky,2021-11-07 01:05:43
58,Jambi,-1.6,103.6167,78.46,90,100,2.68,ID,overcast clouds,2021-11-07 01:05:43
59,Balabac,7.9868,117.0645,84.38,72,100,9.22,PH,overcast clouds,2021-11-07 01:05:43
60,Guerrero Negro,27.9769,-114.0611,67.84,79,100,11.36,MX,overcast clouds,2021-11-07 01:03:52
61,Santa Rita,-7.1139,-34.9781,79.47,89,40,5.75,BR,scattered clouds,2021-11-07 01:05:44
62,Weihai,37.5017,122.1136,60.58,67,100,6.35,CN,moderate rain,2021-11-07 01:05:44
63,Pudozh,61.8099,36.5345,36.97,96,100,7.65,RU,light rain,2021-11-07 01:05:44
64,Babol,36.5513,52.679,52.27,72,100,2.59,IR,overcast clouds,2021-11-07 01:05:45
65,Qaanaaq,77.484,-69.3632,5.72,74,90,7.63,GL,overcast clouds,2021-11-07 01:05:45
66,Flin Flon,54.7682,-101.865,34.95,90,89,4.68,CA,overcast clouds,2021-11-07 01:05:45
67,Jayanca,-6.3908,-79.8219,67.68,74,100,9.48,PE,overcast clouds,2021-11-07 01:05:46
68,Saint-Georges,12.0564,-61.7485,80.82,77,99,12.53,GD,overcast clouds,2021-11-07 01:05:46
69,Bethel,41.3712,-73.414,41.65,76,1,0.0,US,clear sky,2021-11-07 01:05:46
70,Barrow,71.2906,-156.7887,21.22,86,90,9.22,US,overcast clouds,2021-11-07 01:05:47
71,Saint-Pierre,-21.3393,55.4781,69.48,75,0,5.75,RE,clear sky,2021-11-07 01:05:47
72,Katherine,-14.4667,132.2667,79.12,83,40,6.91,AU,scattered clouds,2021-11-07 01:05:47
73,Saskylakh,71.9167,114.0833,-1.75,98,31,7.54,RU,scattered clouds,2021-11-07 01:05:48
74,Aitape,-3.1374,142.3475,86.38,61,52,4.38,PG,broken clouds,2021-11-07 01:05:48
75,Kahului,20.8947,-156.47,86.02,59,1,25.32,US,clear sky,2021-11-07 01:05:48
76,Mahebourg,-20.4081,57.7,73.26,78,44,10.92,MU,scattered clouds,2021-11-07 01:05:49
77,Hofn,64.2539,-15.2082,36.95,90,100,7.81,IS,overcast clouds,2021-11-07 01:03:11
78,Katastarion,37.8333,20.7667,66.11,64,100,6.29,GR,overcast clouds,2021-11-07 01:05:49
79,Talnakh,69.4865,88.3972,18.9,93,100,18.92,RU,light snow,2021-11-07 01:02:36
80,Christchurch,-43.5333,172.6333,64.47,75,90,8.01,NZ,overcast clouds,2021-11-07 01:04:56
81,Bontang,0.1333,117.5,81.81,79,100,2.82,ID,overcast clouds,2021-11-07 01:02:43
82,Mataura,-46.1927,168.8643,65.48,35,74,2.13,NZ,broken clouds,2021-11-07 01:05:50
83,Port Alfred,-33.5906,26.891,63.34,88,100,2.01,ZA,light rain,2021-11-07 01:05:50
84,Adeje,28.1227,-16.726,67.95,62,20,1.01,ES,few clouds,2021-11-07 01:05:51
85,Butaritari,3.0707,172.7902,82.33,67,27,15.75,KI,scattered clouds,2021-11-07 01:05:51
86,Shimoda,34.6667,138.95,58.1,88,100,14.29,JP,moderate rain,2021-11-07 01:05:51
87,Sinnamary,5.3833,-52.95,79.02,86,100,7.43,GF,light rain,2021-11-07 01:01:13
88,Maldonado,-34.6667,-54.9167,56.23,88,2,2.59,UY,clear sky,2021-11-07 01:02:03
89,Saldanha,-33.0117,17.9442,59.38,69,100,17.81,ZA,overcast clouds,2021-11-07 01:05:52
90,Avarua,-21.2078,-159.775,78.85,61,40,8.05,CK,scattered clouds,2021-11-07 01:02:30
91,Klaksvik,62.2266,-6.589,47.32,96,100,24.2,FO,overcast clouds,2021-11-07 01:05:52
92,Kortkeros,61.8106,51.5806,39.2,92,100,10.27,RU,overcast clouds,2021-11-07 01:05:52
93,Anadyr,64.75,177.4833,-5.75,98,100,4.29,RU,overcast clouds,2021-11-07 01:05:53
94,Tarakan,3.3,117.6333,80.01,84,90,5.01,ID,overcast clouds,2021-11-07 01:05:53
95,Luderitz,-26.6481,15.1594,57.38,74,5,17.78,NA,clear sky,2021-11-07 01:05:53
96,Ronne,55.1009,14.7066,49.91,87,90,23.02,DK,light rain,2021-11-07 01:05:54
97,Yucca Valley,34.1142,-116.4322,71.83,28,0,4.0,US,clear sky,2021-11-07 01:05:54
98,Cabo San Lucas,22.8909,-109.9124,80.06,68,30,6.11,MX,scattered clouds,2021-11-07 01:05:21
99,Aklavik,68.2191,-135.0107,12.92,97,91,2.53,CA,overcast clouds,2021-11-07 01:05:54
100,Brody,50.0879,25.1503,37.53,84,6,6.46,UA,clear sky,2021-11-07 01:05:55
101,Shanting,35.0753,117.4578,48.2,91,100,11.23,CN,moderate rain,2021-11-07 01:05:55
102,Dikson,73.5069,80.5464,17.4,95,100,3.18,RU,light snow,2021-11-07 01:05:55
103,Namibe,-15.1961,12.1522,70.79,79,100,1.79,AO,overcast clouds,2021-11-07 01:05:56
104,Sao Filipe,14.8961,-24.4956,78.75,72,57,9.33,CV,broken clouds,2021-11-07 01:05:56
105,Laguna,38.421,-121.4238,62.26,73,20,0.0,US,few clouds,2021-11-07 01:05:56
106,Sao Joao Da Barra,-21.6403,-41.0511,68.9,78,86,5.88,BR,overcast clouds,2021-11-07 01:05:56
107,Aksu,41.1231,80.2644,26.26,30,3,3.78,CN,clear sky,2021-11-07 01:05:57
108,Skelleftea,64.7507,20.9528,28.76,69,45,6.91,SE,scattered clouds,2021-11-07 01:05:57
109,San Vicente,-26.6167,-54.1333,65.66,90,88,6.15,AR,overcast clouds,2021-11-07 01:05:58
110,Valparaiso,-33.0393,-71.6273,56.84,76,0,4.61,CL,clear sky,2021-11-07 01:05:58
111,Kavaratti,10.5669,72.642,81.59,72,85,9.8,IN,overcast clouds,2021-11-07 01:01:14
112,Ust-Tsilma,65.441,52.1498,33.91,98,100,6.35,RU,light rain,2021-11-07 01:05:59
113,East London,-33.0153,27.9116,64.26,90,100,3.24,ZA,light rain,2021-11-07 01:06:00
114,Touros,-5.1989,-35.4608,81.5,82,3,11.12,BR,clear sky,2021-11-07 01:06:00
115,Lavrentiya,65.5833,-171.0,7.86,78,66,4.54,RU,broken clouds,2021-11-07 01:06:00
116,Saint George,37.1041,-113.5841,72.25,29,1,1.01,US,clear sky,2021-11-07 01:06:00
117,Codrington,-38.2667,141.9667,57.06,56,100,9.55,AU,overcast clouds,2021-11-07 01:06:01
118,Souillac,-20.5167,57.5167,73.36,81,45,9.71,MU,scattered clouds,2021-11-07 01:06:01
119,Toro,4.6117,-76.0814,67.1,96,100,2.71,CO,overcast clouds,2021-11-07 01:06:02
120,Nova Olimpia,-14.7972,-57.2881,68.27,94,99,5.46,BR,overcast clouds,2021-11-07 01:06:02
121,Santa Rosa,14.3122,121.1114,86.09,75,43,8.9,PH,scattered clouds,2021-11-07 01:02:33
122,Vicuna,-30.0319,-70.7081,66.78,45,0,1.48,CL,clear sky,2021-11-07 01:06:03
123,Rudnogorsk,57.2639,103.7519,21.63,94,100,7.81,RU,overcast clouds,2021-11-07 01:06:03
124,Male,4.1748,73.5089,82.45,72,100,16.75,MV,overcast clouds,2021-11-07 01:06:03
125,Kodiak,57.79,-152.4072,33.4,63,9,9.71,US,clear sky,2021-11-07 01:06:04
126,Lata,40.1629,-8.3327,47.05,70,6,4.47,PT,clear sky,2021-11-07 01:06:04
127,Mayo,38.8876,-76.5119,52.34,76,1,5.01,US,clear sky,2021-11-07 01:06:04
128,Kirakira,-10.4544,161.9205,84.61,70,12,7.45,SB,few clouds,2021-11-07 01:06:05
129,Vila,42.0304,-8.1588,38.32,91,5,4.65,PT,clear sky,2021-11-07 01:06:05
130,Pangnirtung,66.1451,-65.7125,12.7,61,12,10.65,CA,few clouds,2021-11-07 01:06:06
131,Varena,54.2167,24.5667,47.05,84,100,11.81,LT,overcast clouds,2021-11-07 01:06:06
132,Erzin,36.9559,36.2,54.12,36,1,3.56,TR,clear sky,2021-11-07 01:06:06
133,Aswan,24.0934,32.907,76.1,34,0,8.57,EG,clear sky,2021-11-07 01:06:07
134,Nuevo Progreso,23.1667,-97.95,73.6,65,7,4.92,MX,clear sky,2021-11-07 01:06:07
135,Haines Junction,60.7522,-137.5108,30.43,97,100,2.37,CA,light snow,2021-11-07 01:06:07
136,Sao Borja,-28.6606,-56.0044,64.51,82,71,11.39,BR,broken clouds,2021-11-07 01:06:08
137,Marigot,18.0667,-63.0833,81.05,74,20,4.61,MF,few clouds,2021-11-07 01:06:08
138,Santa Maria,-29.6842,-53.8069,61.65,79,100,9.75,BR,overcast clouds,2021-11-07 01:06:08
139,Provideniya,64.3833,-173.3,20.8,89,98,7.65,RU,light snow,2021-11-07 01:06:09
140,Atuona,-9.8,-139.0333,78.22,67,5,15.3,PF,clear sky,2021-11-07 01:06:09
141,Kuytun,54.3419,101.5036,19.69,90,100,3.78,RU,overcast clouds,2021-11-07 01:06:10
142,Upernavik,72.7868,-56.1549,14.56,87,95,10.67,GL,overcast clouds,2021-11-07 01:06:10
143,Port-Gentil,-0.7193,8.7815,78.84,86,100,10.31,GA,overcast clouds,2021-11-07 01:06:10
144,Champoton,19.35,-90.7167,77.02,64,10,12.77,MX,clear sky,2021-11-07 01:06:11
145,Gamba,-2.65,10.0,76.05,90,100,3.47,GA,overcast clouds,2021-11-07 01:06:11
146,Nanortalik,60.1432,-45.2371,31.3,74,100,11.43,GL,overcast clouds,2021-11-07 01:06:12
147,Carnarvon,-24.8667,113.6333,71.67,64,75,21.85,AU,broken clouds,2021-11-07 01:06:12
148,Yerbogachen,61.2767,108.0108,6.35,98,82,6.73,RU,broken clouds,2021-11-07 01:06:13
149,Mareeba,-17.0,145.4333,87.44,57,5,8.81,AU,clear sky,2021-11-07 01:06:13
150,Bambous Virieux,-20.3428,57.7575,73.22,77,37,11.43,MU,scattered clouds,2021-11-07 01:06:14
151,Tevriz,57.509,72.4042,35.04,64,100,12.15,RU,overcast clouds,2021-11-07 01:06:14
152,Belyy Yar,53.6039,91.3903,30.09,71,40,13.42,RU,scattered clouds,2021-11-07 01:06:14
153,Tocopilla,-22.092,-70.1979,65.62,67,5,9.06,CL,clear sky,2021-11-07 01:06:14
154,Wakefield,53.6809,-1.499,52.29,62,100,15.75,GB,overcast clouds,2021-11-07 01:02:22
155,Constitucion,-35.3333,-72.4167,50.38,94,11,9.35,CL,few clouds,2021-11-07 01:06:15
156,Salalah,17.0151,54.0924,73.47,77,89,1.25,OM,overcast clouds,2021-11-07 01:06:15
157,San Quintin,30.4833,-115.95,64.72,83,0,7.96,MX,clear sky,2021-11-07 01:06:15
158,Jamestown,42.097,-79.2353,42.33,67,1,6.91,US,clear sky,2021-11-07 01:05:11
159,Matelandia,-25.2408,-53.9964,70.16,98,38,3.44,BR,scattered clouds,2021-11-07 01:06:16
160,Roros,62.5747,11.3842,22.84,93,90,3.44,NO,overcast clouds,2021-11-07 01:06:16
161,Lollar,50.6465,8.705,46.72,88,100,1.99,DE,overcast clouds,2021-11-07 01:06:17
