City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Baruun-Urt,46.6806,113.2792,19.45,44,98,20.58,MN,2021-11-04 19:32:40
1,Hermanus,-34.4187,19.2345,61.9,86,98,7.61,ZA,2021-11-04 19:32:40
2,Zhigansk,66.7697,123.3711,-13.65,95,15,9.95,RU,2021-11-04 19:32:40
3,Rikitea,-23.1203,-134.9692,73.22,80,100,10.07,PF,2021-11-04 19:32:41
4,Avarua,-21.2078,-159.775,78.85,65,29,5.75,CK,2021-11-04 19:32:41
5,Busselton,-33.65,115.3333,50.09,81,80,4.07,AU,2021-11-04 19:32:41
6,Faanui,-16.4833,-151.75,78.78,76,18,10.47,PF,2021-11-04 19:32:42
7,Severo-Kurilsk,50.6789,156.125,35.78,80,100,3.78,RU,2021-11-04 19:32:42
8,Lebu,-37.6167,-73.65,54.45,57,0,19.71,CL,2021-11-04 19:32:43
9,Albany,42.6001,-73.9662,48.15,59,100,1.01,US,2021-11-04 19:32:43
10,Omboue,-1.5746,9.2618,77.23,91,100,6.33,GA,2021-11-04 19:32:43
11,Atuona,-9.8,-139.0333,77.85,65,36,15.39,PF,2021-11-04 19:32:44
12,Laguna,38.421,-121.4238,69.91,66,1,1.99,US,2021-11-04 19:32:18
13,Port Blair,11.6667,92.75,80.38,76,72,2.98,IN,2021-11-04 19:32:44
14,Khoy,38.5504,44.9535,55.02,67,75,2.33,IR,2021-11-04 19:32:44
15,Rociu,44.6667,25.0333,56.79,66,7,5.39,RO,2021-11-04 19:32:45
16,Longyearbyen,78.2186,15.6401,19.24,73,75,9.22,SJ,2021-11-04 19:32:45
17,Tilichiki,60.4667,166.1,11.77,95,100,6.02,RU,2021-11-04 19:32:45
18,Kushima,31.4583,131.2333,56.12,75,3,4.54,JP,2021-11-04 19:32:46
19,Punta Arenas,-53.15,-70.9167,51.82,53,75,34.52,CL,2021-11-04 19:32:46
20,Wamba,8.9333,8.6,79.65,68,77,2.75,NG,2021-11-04 19:32:46
21,Southbridge,42.0751,-72.0334,50.85,45,100,2.55,US,2021-11-04 19:32:47
22,Kavieng,-2.5744,150.7967,82.45,70,100,16.02,PG,2021-11-04 19:32:47
23,Saskylakh,71.9167,114.0833,4.05,88,100,15.77,RU,2021-11-04 19:32:47
24,Hobart,-42.8794,147.3294,46.11,91,20,3.0,AU,2021-11-04 19:32:48
25,Puerto Ayora,-0.7393,-90.3518,76.96,72,56,11.68,EC,2021-11-04 19:31:06
26,East London,-33.0153,27.9116,67.86,84,23,6.24,ZA,2021-11-04 19:29:45
27,Arraial Do Cabo,-22.9661,-42.0278,76.86,78,75,14.97,BR,2021-11-04 19:32:48
28,Kapaa,22.0752,-159.319,80.58,83,90,10.0,US,2021-11-04 19:32:48
29,Palmer,42.1584,-72.3287,50.56,39,75,1.01,US,2021-11-04 19:32:49
30,Champerico,14.3,-91.9167,91.94,71,70,4.85,GT,2021-11-04 19:32:49
31,Havre-Saint-Pierre,50.2334,-63.5986,39.56,52,40,11.5,CA,2021-11-04 19:32:49
32,High Prairie,55.4334,-116.4858,46.08,57,100,7.96,CA,2021-11-04 19:32:50
33,Provideniya,64.3833,-173.3,12.97,79,87,10.98,RU,2021-11-04 19:32:50
34,Klaksvik,62.2266,-6.589,45.52,73,91,22.79,FO,2021-11-04 19:32:50
35,Hillsborough,37.5741,-122.3794,67.71,73,75,5.01,US,2021-11-04 19:32:51
